dgp,T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,additional_info
2,65,2,60,2.132,0.43698731770117,0.00183756391466495,0.00195335250739409,0,0,0.83,3.1074769227866,0,
2,65,2,120,2.014,0.117608092096817,0.00073575855773365,0.000686507956680566,0,0,0.18,1.58765275881256,0,
2,65,2,300,2,0,0.000267252797806014,0.000210171834870215,0,0,0,0,0,
2,65,3,30,3.64,1.24960915733368,0.006875460892402,0.00654755614521472,0,0,2.522,4.42998482289298,0,
2,65,3,60,3.11,0.382351127590254,0.00215822606915257,0.0019396086829214,0,0,0.578,2.21940702329927,0,
2,65,3,120,3.014,0.117608092096817,0.000910591618264782,0.000682649214478758,0,0,0.092,0.83722032688624,0,
2,65,3,300,3,0,0.00034855838458631,0.000239340408243451,0,0,0,0,0,
2,129,1,30,1.094,0.391753675009907,0.00121321450484073,0.00167695539636316,0,0,1.898,8.68160910622833,0,
2,129,1,60,1.01,0.0995983919516711,0.000472798856221704,0.000532024748881892,0,0,0.192,2.69920495976679,0,
2,129,1,120,1,0,0.000205616318071636,0.000210446649881521,0,0,0,0,0,
2,129,1,300,1,0,8.43635049486885e-05,8.09382614100904e-05,0,0,0,0,0,
2,129,2,30,2.132,0.45053519721311,0.00179175921184348,0.00198390505205696,0,0,1.636,6.06705218738796,0,
2,129,2,60,2.016,0.140654069028481,0.000732471597371292,0.000695806380573137,0,0,0.386,3.40237509875458,0,
2,129,2,120,2.002,0.0447213595499968,0.000330791334444924,0.000295196244057424,0,0,0.048,1.0733126291999,0,
2,129,2,300,2,0,0.000136756657808873,0.000113901888480415,0,0,0,0,0,
2,129,3,30,3.128,0.409819355091503,0.00228715991209327,0.00207456049143539,0,0,1.388,4.71060884295679,0,
2,129,3,60,3.01,0.118016336629394,0.000867475902713642,0.000680042397957075,0,0,0.08,1.06011683101005,0,
2,129,3,120,3,0,0.000439137702809439,0.000306624089503271,0,0,0,0,0,
2,129,3,300,3,0,0.000169578631339609,0.00012149880175351,0,0,0,0,0,
3,33,1,30,2.912,2.07481703565951,0.0172898840741786,0.0146145527196625,0,0,7.09,6.15220279236606,0,
3,33,1,60,1.444,0.867391916883568,0.00395073988393856,0.0047334197794252,0,0,2.53,4.77311903587804,0,
3,33,1,120,1.084,0.318035049303014,0.00120105276285072,0.00151767886828364,0,0,0.602,2.56295405088228,0,
3,33,1,300,1.008,0.0891734478845316,0.000351497361269032,0.000385659568082185,0,0,0.078,0.888535305983932,0,
3,33,2,30,3.698,1.87985736891258,0.0175969722238519,0.014331711237091,0,0,3.936,3.70666733947505,0,
3,33,2,60,2.516,0.931385504458724,0.00516851741437718,0.00495566210258124,0,0,1.648,2.86225103055687,0,
3,33,2,120,2.08,0.285943223479957,0.00163646273947185,0.00158720666525553,0,0,0.334,1.39941442090715,0,
3,33,2,300,2.004,0.0631821491240666,0.000520290514951075,0.000443433775712041,0,0,0.012,0.199839615050387,0,
3,33,3,30,4.732,1.86309372723783,0.0192809425030383,0.0139212756462864,0,0,2.83,2.67346120031302,0,
3,33,3,60,3.46,0.856660805378034,0.00574674116477211,0.00497120870222161,0,0,1.008,1.85764304303887,0,
3,33,3,120,3.082,0.308977238429848,0.00196655633820103,0.00173393190629189,0,0,0.23,0.935334004192512,0,
3,33,3,300,3.006,0.0773042812773494,0.000693456561376975,0.000547380783655497,0,0,0.024,0.328084255271591,0,
3,65,1,30,1.53,1.16954507024855,0.00456509888533584,0.00645650213235009,0,0,4.814,9.32874347968791,0,
3,65,1,60,1.102,0.394851637493455,0.00131660432453218,0.00187793566805047,0,0,1.41,5.54394902046213,0,
3,65,1,120,1.008,0.0891734478845316,0.000458946107532311,0.000526471410948192,0,0,0.098,1.43963227324353,0,
3,65,1,300,1,0,0.000171909172801333,0.000175801186541039,0,0,0,0,0,
3,65,2,30,2.664,1.20582420943025,0.00624784474654747,0.00664970670126424,0,0,3.526,5.95686936109651,0,
3,65,2,60,2.094,0.330730654054114,0.00165523531985513,0.00175614351830234,0,0,0.708,2.90372161172465,0,
3,65,2,120,2.016,0.12560076075488,0.000709981736021214,0.000597311077696335,0,0,0.164,1.48914038228648,0,
3,65,2,300,2,0,0.000280887348064783,0.000239373880279131,0,0,0,0,0,
3,65,3,30,3.686,1.17906079942362,0.00722611171600484,0.00656865438639493,0,0,2.648,4.26996031857961,0,
3,65,3,60,3.114,0.435181301908829,0.00223692512315211,0.0021078007680332,0,0,0.514,2.01343284557675,0,
3,65,3,120,3.024,0.165767783105863,0.000908270128483108,0.000730872225490732,0,0,0.124,0.962536728601987,0,
3,65,3,300,3.002,0.0447213595499867,0.000346653756674439,0.000243611466543406,0,0,0.024,0.53665631459995,0,
3,129,1,30,1.088,0.405690978875155,0.0012244371785842,0.00186196575609004,0,0,2.146,9.39197009175438,0,
3,129,1,60,1.012,0.108994309571822,0.000463971375013432,0.000551321762655523,0,0,0.376,3.85127103397752,0,
3,129,1,120,1.006,0.0773042812773502,0.000229020622719293,0.00026594697862782,0,0,0.094,1.50255760579002,0,
3,129,1,300,1,0,8.81148987803083e-05,0.000100275798514218,0,0,0,0,0,
3,129,2,30,2.096,0.339137181765892,0.00175863432819055,0.00179051465126988,0,0,1.572,6.08101747630232,0,
3,129,2,60,2.022,0.159897261604247,0.000705711111309474,0.000670074760504242,0,0,0.402,3.20201527223204,0,
3,129,2,120,2,0,0.000334304728238841,0.00026917394541659,0,0,0,0,0,
