dgp,T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,taed_mean,taed_sd
3,33,2,60,2.078,0.310013252027822,0.00206303388306631,0.00208301806232726,0,0,0.0083030303030303,20.3819159731985,0,0.00410342251382493,0.00408303474751957
3,33,2,120,2.016,0.12560076075488,0.000899071080015769,0.000853344102408979,0,0,0.00206060606060606,20.3830026972711,0,0.00179631474227786,0.00169672241116288
3,33,2,300,2,0,0.000331870636745949,0.000275072599216115,0,0,0,20.3840305964529,0,0.000663769242382647,0.000550484624113162
3,33,3,30,3.572,0.975047401345053,0.00835966912496058,0.00709169272061808,0,0,0.0368484848484849,23.2809450567163,0,0.0166075716146293,0.0140153164089672
3,33,3,60,3.1,0.355320285109111,0.00292634315444358,0.00240644332297483,0,0,0.00945454545454545,23.2916809041439,0,0.00578578179774538,0.00463285164098702
3,33,3,120,3.02,0.153776768691434,0.00120166815812439,0.000937237116330405,0,0,0.00151515151515152,23.2954302964019,0,0.00240517288648721,0.00188250437471158
3,33,3,300,3,0,0.000445712646127212,0.000301227774955029,0,0,0,23.2960349673747,0,0.000890900478996219,0.000600519922633801
3,65,1,30,1.07,0.292011200268353,0.00149470562821729,0.00188978108907914,0,0,0.0155692307692308,31.5499228248821,0,0.0029683830101142,0.00370027652286547
3,65,1,60,1.014,0.160797112607303,0.000593919098910401,0.000828600343553267,0,0,0.00236923076923077,31.5411055913178,0,0.00118718577897107,0.00165201523559977
3,65,1,120,1,0,0.000295715517423854,0.000304764434792737,0,0,0,31.5392473404458,0,0.000591423527144517,0.000609485245278001
3,65,1,300,1,0,0.000117855286359418,0.000117765827855627,0,0,0,31.5392473404458,0,0.000235710526761134,0.000235530416428241
3,65,2,30,2.106,0.403844252603304,0.00230757311699415,0.00272104033985957,0,0,0.0109230769230769,41.3913892022686,0,0.00459934487097154,0.00540210886767259
